,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit,DAYS_EMPLOYED_r,credit_r
15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,35,11,0,1,0,Drivers,4.0,60.0,0.0,11.11,0.0
16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,53,12,0,1,0,Laborers,2.0,2.0,1.0,12.47,1.0
17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,24,2,0,0,1,Sales staff,2.0,14.0,2.0,2.7,4.0
18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0,0,0,0,job_less,2.0,37.0,2.0,-0.0,5.0
19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,37,16,0,0,0,Security staff,2.0,7.0,2.0,16.52,4.0
20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,54,4,0,1,0,Core staff,2.0,35.0,2.0,4.8,4.0
21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,58,0,0,1,0,job_less,2.0,7.0,2.0,-0.0,2.0
22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41,3,0,0,0,Laborers,2.0,22.0,0.0,3.72,0.0
23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,39,1,1,1,1,Core staff,2.0,18.0,2.0,1.22,2.0
24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61,0,0,1,0,job_less,1.0,5.0,2.0,-0.0,2.0
25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,38,10,0,0,0,Realty agents,3.0,4.0,2.0,10.12,2.0
26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,48,9,1,0,0,Laborers,3.0,13.0,2.0,9.19,5.0
27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,47,9,0,0,0,Core staff,2.0,57.0,2.0,9.59,3.0
28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,60,6,1,1,0,Drivers,2.0,47.0,2.0,6.37,4.0
29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,32,4,0,1,0,Sales staff,2.0,22.0,0.0,4.69,0.0
30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36,0,0,0,0,Managers,2.0,33.0,2.0,0.62,2.0
31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,32,9,1,0,1,Laborers,2.0,18.0,0.0,9.46,0.0
32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,36,4,0,0,0,Laborers,2.0,2.0,0.0,4.46,0.0
33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,52,0,0,1,0,High skill tech staff,2.0,30.0,2.0,0.95,5.0
34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,39,4,0,1,0,Laborers,3.0,22.0,0.0,4.47,0.0
35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,39,6,0,0,0,Managers,2.0,20.0,2.0,6.67,3.0
36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,55,2,1,1,0,Accountants,1.0,14.0,2.0,2.8,3.0
37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,45,4,0,0,0,Drivers,2.0,8.0,2.0,4.51,2.0
38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,37,9,0,0,0,Sales staff,2.0,41.0,2.0,9.51,4.0
39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,35,4,0,0,0,Laborers,4.0,39.0,2.0,4.38,5.0
40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,59,6,0,0,0,Laborers,2.0,21.0,1.0,6.65,1.0
41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,34,1,0,1,0,Accountants,4.0,19.0,2.0,1.19,4.0
42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,27,1,1,0,0,Managers,3.0,35.0,0.0,1.52,0.0
43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,27,5,0,0,0,Sales staff,2.0,8.0,1.0,5.14,1.0
44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,41,0,0,0,0,Drivers,2.0,26.0,2.0,0.55,5.0
45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,51,8,1,1,0,High skill tech staff,2.0,4.0,0.0,8.77,0.0
46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,57,0,0,1,0,job_less,1.0,24.0,2.0,-0.0,3.0
47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,50,9,0,0,0,Sales staff,2.0,48.0,2.0,9.54,5.0
48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0,0,0,0,job_less,2.0,4.0,2.0,-0.0,2.0
49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,51,5,0,1,0,Core staff,2.0,12.0,2.0,5.51,2.0
50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,38,3,1,0,0,Sales staff,3.0,4.0,2.0,3.02,2.0
51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,24,3,0,0,1,Drivers,2.0,10.0,2.0,3.02,2.0
52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0,0,1,0,job_less,2.0,37.0,2.0,-0.0,3.0
53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,37,10,0,0,0,Core staff,4.0,42.0,2.0,10.86,2.0
54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,42,1,0,0,0,Core staff,3.0,2.0,1.0,1.16,1.0
55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,37,8,0,0,0,Laborers,2.0,24.0,2.0,8.25,2.0
56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,44,25,0,1,0,Laborers,2.0,29.0,2.0,25.73,5.0
57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,46,1,0,0,0,Core staff,1.0,3.0,1.0,1.76,1.0
58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0,0,0,0,job_less,2.0,23.0,2.0,-0.0,4.0
59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,62,0,0,1,0,job_less,2.0,25.0,2.0,-0.0,5.0
60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,58,0,0,0,0,job_less,1.0,1.0,1.0,-0.0,1.0
61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,31,3,0,0,0,Managers,3.0,15.0,2.0,3.76,4.0
62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,47,8,0,1,0,Core staff,2.0,40.0,1.0,8.64,1.0
63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,42,9,0,0,0,Managers,2.0,21.0,2.0,9.14,3.0
64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,24,1,0,0,0,Security staff,1.0,32.0,2.0,1.96,4.0
65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,34,13,1,0,0,Cleaning staff,2.0,10.0,2.0,13.52,2.0
66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,37,7,0,0,0,Laborers,3.0,4.0,1.0,7.62,1.0
67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,33,3,0,0,0,High skill tech staff,4.0,2.0,1.0,3.33,1.0
68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,28,4,0,0,0,Laborers,2.0,14.0,1.0,4.41,1.0
69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,42,8,0,0,1,Medicine staff,2.0,59.0,2.0,8.13,3.0
70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,27,5,0,1,0,Laborers,1.0,39.0,2.0,5.28,4.0
71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,43,10,0,0,0,Laborers,4.0,54.0,2.0,10.38,3.0
72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,59,2,0,1,0,Security staff,2.0,4.0,2.0,2.96,2.0
73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0,0,1,0,job_less,2.0,34.0,2.0,-0.0,3.0
74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,28,0,1,1,0,Sales staff,3.0,25.0,2.0,0.6,3.0
75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,15,0,0,1,Core staff,2.0,34.0,2.0,15.07,2.0
76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37,1,1,1,0,Core staff,2.0,15.0,2.0,1.61,4.0
77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,26,1,0,0,0,Core staff,1.0,7.0,1.0,1.42,1.0
78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,34,0,1,0,0,Sales staff,2.0,23.0,1.0,0.63,1.0
79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,40,4,0,0,0,Core staff,2.0,2.0,0.0,4.58,0.0
80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,48,0,0,0,0,Laborers,2.0,2.0,1.0,0.58,1.0
81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,28,2,0,0,1,Sales staff,2.0,0.0,0.0,2.64,0.0
82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,41,3,0,0,1,Accountants,2.0,53.0,2.0,3.9,3.0
83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,32,4,0,0,0,High skill tech staff,4.0,38.0,1.0,4.66,1.0
84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64,0,0,1,0,job_less,2.0,27.0,2.0,-0.0,5.0
85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,49,3,0,0,0,Laborers,2.0,41.0,1.0,3.33,1.0
86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,34,1,1,0,1,Drivers,3.0,45.0,2.0,1.24,3.0
87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,36,0,1,1,1,Core staff,1.0,56.0,2.0,0.64,3.0
88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,55,14,0,0,0,Managers,2.0,45.0,2.0,14.87,4.0
89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,39,11,1,1,0,Managers,2.0,59.0,2.0,11.36,5.0
90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,55,25,1,0,0,Cleaning staff,2.0,30.0,2.0,25.76,5.0
91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,51,8,0,0,0,Private service staff,2.0,20.0,2.0,8.19,5.0
92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,1,0,0,0,Laborers,3.0,5.0,2.0,1.89,3.0
93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,52,9,0,0,0,High skill tech staff,1.0,22.0,1.0,9.94,1.0
94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,65,0,0,0,0,job_less,2.0,26.0,2.0,-0.0,3.0
95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,44,0,0,1,0,job_less,2.0,14.0,2.0,-0.0,5.0
96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,64,5,0,0,0,Security staff,2.0,56.0,2.0,5.72,2.0
97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,25,3,0,0,0,Drivers,2.0,46.0,2.0,3.32,4.0
98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,29,1,0,0,1,Sales staff,1.0,5.0,2.0,1.61,2.0
99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,53,33,0,1,1,Medicine staff,1.0,35.0,2.0,33.79,5.0
100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,60,23,0,0,0,Private service staff,2.0,9.0,2.0,23.26,5.0
101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,53,8,1,1,0,Managers,2.0,2.0,1.0,8.35,1.0
102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33,1,0,0,0,Managers,3.0,12.0,2.0,1.65,3.0
103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,43,10,1,1,0,Managers,2.0,12.0,2.0,10.19,4.0
104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,43,6,0,1,0,Sales staff,1.0,7.0,0.0,6.95,0.0
105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27,7,0,0,0,Laborers,2.0,5.0,2.0,7.14,2.0
106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,44,5,0,1,0,Core staff,3.0,47.0,2.0,5.37,3.0
107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,25,4,0,0,0,Core staff,3.0,4.0,1.0,4.6,1.0
108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,29,1,0,1,0,Core staff,1.0,22.0,2.0,1.87,3.0
109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,62,6,1,1,0,High skill tech staff,2.0,13.0,2.0,6.12,4.0
110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,35,0,0,0,0,Managers,2.0,57.0,2.0,0.45,2.0
111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,44,6,0,0,0,Drivers,3.0,44.0,2.0,6.5,3.0
112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,48,0,0,1,0,Laborers,1.0,4.0,2.0,0.55,2.0
113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,47,3,0,0,0,Cooking staff,4.0,36.0,1.0,3.12,1.0
114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,31,8,0,0,1,Managers,4.0,43.0,2.0,8.07,2.0
115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,57,0,0,0,0,job_less,2.0,49.0,2.0,-0.0,5.0
116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,39,7,0,0,0,Managers,3.0,11.0,2.0,7.54,3.0
117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,44,1,0,0,0,Sales staff,2.0,27.0,2.0,1.85,3.0
118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,50,15,0,1,0,Sales staff,2.0,47.0,2.0,15.77,4.0
119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,33,5,1,1,0,Cooking staff,4.0,0.0,1.0,5.08,1.0
120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,58,0,0,0,0,job_less,1.0,4.0,1.0,-0.0,1.0
121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,45,27,1,1,0,Sales staff,2.0,35.0,2.0,27.36,3.0
122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,35,11,0,0,0,Core staff,4.0,39.0,2.0,11.29,3.0
123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,53,17,0,0,0,High skill tech staff,2.0,48.0,2.0,17.06,3.0
124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,9,0,0,0,Accountants,4.0,55.0,2.0,9.2,2.0
125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,34,11,0,0,0,Managers,2.0,42.0,2.0,11.07,2.0
126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,32,13,0,0,0,Laborers,2.0,45.0,2.0,13.65,5.0
127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,45,1,0,1,1,Laborers,3.0,30.0,2.0,1.12,5.0
128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,37,14,0,0,0,Laborers,3.0,38.0,1.0,14.3,1.0
129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,48,4,0,0,0,Laborers,3.0,11.0,2.0,4.79,2.0
130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8,0,0,0,Laborers,1.0,1.0,0.0,8.86,0.0
131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,38,14,0,1,0,Core staff,2.0,33.0,0.0,14.6,0.0
132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,28,1,1,1,0,Drivers,2.0,35.0,2.0,1.18,3.0
133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36,7,0,0,0,Managers,3.0,22.0,2.0,7.05,2.0
134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,62,0,0,0,0,job_less,1.0,6.0,2.0,-0.0,2.0
135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,42,0,0,1,0,Managers,2.0,23.0,0.0,0.54,0.0
136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,34,1,0,0,0,Accountants,3.0,29.0,2.0,1.09,3.0
137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,8,0,0,0,Sales staff,3.0,46.0,2.0,8.89,5.0
138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,66,0,0,0,0,job_less,2.0,2.0,0.0,-0.0,0.0
139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,2,0,1,0,Core staff,2.0,39.0,2.0,2.69,2.0
140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,32,4,1,0,0,Laborers,3.0,15.0,0.0,4.6,0.0
141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,28,8,0,0,1,Core staff,3.0,12.0,2.0,8.22,4.0
142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,61,5,0,1,0,Managers,2.0,11.0,2.0,5.3,3.0
143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,2,0,0,1,Core staff,2.0,45.0,2.0,2.93,2.0
144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,28,3,0,0,0,Core staff,2.0,8.0,2.0,3.62,3.0
145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,53,32,0,1,0,Medicine staff,2.0,7.0,2.0,32.71,3.0
146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,38,20,1,1,0,Managers,2.0,6.0,1.0,20.27,1.0
147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,34,1,0,0,0,Sales staff,2.0,11.0,1.0,1.94,1.0
148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,39,2,0,1,0,Core staff,2.0,26.0,2.0,2.21,2.0
149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,35,6,0,0,0,Laborers,4.0,49.0,1.0,6.52,1.0
150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,32,7,0,0,0,Laborers,3.0,41.0,2.0,7.75,4.0
151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42,0,0,0,0,Drivers,2.0,33.0,2.0,0.86,4.0
152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,29,1,1,0,0,Medicine staff,1.0,35.0,2.0,1.57,3.0
153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49,9,0,0,0,Drivers,2.0,32.0,1.0,9.52,1.0
154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,51,30,1,0,0,Core staff,2.0,46.0,2.0,30.12,5.0
155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,0,0,0,job_less,2.0,35.0,2.0,-0.0,5.0
156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,45,2,0,0,0,Laborers,2.0,38.0,2.0,2.41,5.0
157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,3,0,0,0,Core staff,4.0,44.0,2.0,3.96,3.0
158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,29,6,0,0,0,Core staff,3.0,39.0,2.0,6.45,3.0
159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,59,0,0,1,0,job_less,2.0,51.0,1.0,-0.0,1.0
160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,46,3,0,0,0,Sales staff,3.0,11.0,2.0,3.47,3.0
161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,36,2,0,1,0,Managers,4.0,33.0,0.0,2.3,0.0
162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,44,5,1,0,0,Managers,2.0,60.0,2.0,5.6,5.0
163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,60,0,0,0,0,job_less,2.0,24.0,2.0,-0.0,5.0
164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,57,2,0,0,1,Security staff,2.0,3.0,1.0,2.27,1.0
165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,57,2,1,1,0,Core staff,2.0,4.0,1.0,2.45,1.0
166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,59,0,0,1,0,job_less,1.0,15.0,2.0,-0.0,3.0
167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43,0,1,1,0,Drivers,2.0,14.0,2.0,0.33,3.0
168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,53,27,1,1,0,Core staff,2.0,21.0,1.0,27.04,1.0
169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,38,10,0,0,0,Core staff,2.0,3.0,1.0,10.39,1.0
170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49,1,0,1,1,Core staff,3.0,60.0,2.0,1.86,3.0
171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,2,0,0,0,Private service staff,2.0,2.0,0.0,2.38,0.0
172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,22,0,0,0,Core staff,3.0,49.0,1.0,22.17,1.0
173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,63,0,0,0,0,job_less,2.0,19.0,0.0,-0.0,0.0
174,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,29,2,0,0,1,Sales staff,2.0,15.0,2.0,2.85,4.0
175,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,29,3,0,0,0,Drivers,2.0,2.0,1.0,3.77,1.0
176,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,49,27,1,0,0,Managers,2.0,26.0,2.0,27.28,4.0
177,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,32,3,0,0,0,Core staff,1.0,22.0,1.0,3.88,1.0
178,M,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,55,0,0,0,0,job_less,2.0,12.0,2.0,-0.0,3.0
179,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,46,5,0,0,0,Drivers,2.0,19.0,2.0,5.55,2.0
180,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,56,13,1,1,0,Managers,1.0,58.0,2.0,13.19,5.0
181,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,56,0,0,0,0,job_less,2.0,5.0,0.0,-0.0,0.0
182,F,N,Y,2,67500.0,Working,Higher education,Married,House / apartment,28,2,1,0,0,Core staff,4.0,12.0,0.0,2.63,0.0
183,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,62,0,0,1,0,job_less,2.0,42.0,1.0,-0.0,1.0
184,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,41,2,0,0,1,Drivers,2.0,46.0,2.0,2.73,3.0
